id,distance,angle,x,y
,0.1,41.5526131481349,35.7071775395,35.3585155683
,0.3,41.5526131481349,35.8398390424,35.5081849561
,0.5,41.5526131481349,35.9725005453,35.6578543440
,0.7,21.3706222693439,36.0947008782,35.8139247094
,0.9,21.3706222693439,36.1675807479,36.0001732653
,1.1,21.3706222693439,36.2404606176,36.1864218213
,1.3,21.3706222693439,36.3133404873,36.3726703772
,1.5,21.3706222693439,36.3862203571,36.5589189331
,1.7,358.215156675681,36.4548523551,36.7459006810
,1.9,358.215156675681,36.4486230842,36.9458036480
,2.1,358.215156675681,36.4423938133,37.1457066149
,2.3,358.215156675681,36.4361645424,37.3456095818
,2.5,358.215156675681,36.4299352714,37.5455125487
,2.7,358.215156675681,36.4237060005,37.7454155156
,2.9,358.215156675681,36.4174767296,37.9453184826
,5.3,73.7898992163352,38.6849303599,38.0560280285
,5.9,73.7898992163352,39.2610770521,38.2235242648
,6.5,73.7898992163352,39.8372237442,38.3910205010
,7.1,73.7898992163352,40.4133704363,38.5585167372
